p1268,represents,WikibaseItem,Does this person represent QQ ?
p1269,facet of,WikibaseItem,Is this person an important figure in QQ ?
p1290,godparent,WikibaseItem,Is QQ this persons godparent ?
p1303,instrument,WikibaseItem,Does this person play QQ ?
p1308,officeholder,WikibaseItem,Is this person a QQ ?
p1327,partner in business or sport,WikibaseItem,Has this person partnered with QQ ?
p1340,eye color,WikibaseItem,Does this person have QQ eyes ?
p1344,participant in,WikibaseItem,Did this person participate in QQ ?
p1346,winner,WikibaseItem,Did this person win QQ ?
p1347,military casualty classification,WikibaseItem,Was this person QQ ?
p1365,replaces,WikibaseItem,Did this person replace QQ ?
p1366,replaced by,WikibaseItem,Was this person replaced by QQ ?
p1387,political alignment,WikibaseItem,Is this person in political QQ ?
p1399,convicted of,WikibaseItem,Was this person guilty of QQ ?
p1411,nominated for,WikibaseItem,Was this person nominated for QQ ?
p1412,languages spoken (written or signed),WikibaseItem,Does this person speak/write in QQ ?
p1416,affiliation,WikibaseItem,Is this person affiliated with QQ ?
p1429,has pet,WikibaseItem,Does/Did this person have a pet QQ ?
p1441,present in work,WikibaseItem,Was this person present in QQ ?
p1449,nickname,WikibaseItem,Is this persons nickname QQ ?
p1476,title,Monolingualtext,Did this person publish a work called QQ ?
p1477,birth name,Monolingualtext,Is this persons birth name QQ ?
p1532,country for sport,WikibaseItem,Does this person represent QQ in sports ?
p1542,has effect,WikibaseItem,Did this person have effect on QQ ?
p1552,has quality,WikibaseItem,Is this person a QQ ?
p1576,lifestyle,WikibaseItem,Does this person practice QQ ?
p1595,charge,WikibaseItem,Was this person charged with QQ ?
p1596,penalty,WikibaseItem,Was this person punished by QQ ?
p1598,consecrator,WikibaseItem,Was this person consecrated by QQ ?
p1618,sport number,String,Does this person normally play with number QQ ?
p1640,curator,WikibaseItem,Is this person a curator at QQ ?
p1652,referee,WikibaseItem,Is this person a referee for QQ ?
p1686,for work,WikibaseItem,Was this person awarded QQ for his work ?
p1716,brand,WikibaseItem,Is this person associated with QQ ?
p1731,Fach,WikibaseItem,Does this person have QQ voice type ?
p1775,follower of,WikibaseItem,Is this person a follower of QQ ?
p1830,owner of,WikibaseItem,Does this person own QQ ?
p1884,hair color,WikibaseItem,Does this person have QQ ?
p1995,health speciality,WikibaseItem,Does this person specialize in QQ ?
p2094,competition class,WikibaseItem,Does this person compete in QQ class ?
p2095,co-driver,WikibaseItem,Does this person drive together with QQ ?
p2283,uses,WikibaseItem,Does this person use QQ ?
p2318,debut participant,WikibaseItem,Did this person have its debut in QQ ?
p2341,indigenous to,WikibaseItem,Is this person indigenous to QQ ?
p2408,set in period,WikibaseItem,Did this person work during QQ ?
p2416,sports discipline competed in,WikibaseItem,Did this person compete in QQ ?
p2522,victory,WikibaseItem,Did this person win QQ ?
p2545,bowling style,WikibaseItem,Does this person employ a QQ bowling style ? (cricket)
p2579,studied by,WikibaseItem,Is this person connected to QQ ?
p2596,culture,WikibaseItem,Is this person culturally associated with QQ ?
p2632,place of detention,WikibaseItem,Has this person been held in QQ ?
p2650,interested in,WikibaseItem,Is this person interested in QQ ?
p2652,partnership with,WikibaseItem,Did this person partner with QQ ?
p2770,source of income,WikibaseItem,Does this person earn money through QQ ?
p2936,language used,WikibaseItem,Does this person communicate using QQ ?
p2962,title of chess person,WikibaseItem,Is this person a chess QQ ?
p3091,mount,WikibaseItem,Does this person ride a QQ ?
p3150,birthday,WikibaseItem,Is this persons birthday on QQ ?
p3320,board member,WikibaseItem,Is this person a board member of QQ ?
p3342,significant person,WikibaseItem,Is this person connected to QQ ?
p3373,sibling,WikibaseItem,Is QQ this persons sibling ?
p3438,vehivle normally used,WikibaseItem,Does this person normally use QQ ?
p3448,stepparent,WikibaseItem,Is QQ this persons stepparent ?
p3602,candidacy in election,WikibaseItem,Was this person a candidate in QQ ?
p3701,incarnation of,WikibaseItem,Is this person an incarnation of QQ ?
p3716,social classification,WikibaseItem,Could this person be classified as QQ ?
p4444,reward,WikibaseItem,Was this person rewarded with QQ ?
p4622,trophy awarded,WikibaseItem,Was this person awarded a QQ trophy ?
p5012,special rank,WikibaseItem,Does this person have a special rank of QQ ?
p5052,supervisory board member,WikibaseItem,Is this person a supervisory board member in QQ ?
p5054,member of cabinet,WikibaseItem,Is this person a member of QQ ?
p5096,member of the crew of,WikibaseItem,Was this person a crewmember of QQ ?
p5249,sports competition competed at,WikibaseItem,Did this person compete at QQ ?
p5389,permament resident of,WikibaseItem,Is this person a permament resident of QQ ?
p5832,political coalition,WikibaseItem,Is this person affiliated with QQ ?
p6087,coach of sports team,WikibaseItem,Is this person a coach of QQ ?
p6379,has works in the collection,WikibaseItem,Are this persons works a part of QQ collection ?
p6758,supported sports team,WikibaseItem,Has this person supported QQ ?
p6872,has written for,WikibaseItem,Has this person written for QQ ?
p6886,writing language,WikibaseItem,Does this person write in QQ ?
p7047,enemy of,WikibaseItem,Is this person an enemy of QQ ?
p7153,significant place,WikibaseItem,Is this person connected to QQ ?
p7406,style of karate,WikibaseItem,Does this person practice QQ karate ?
p7779,military unit,WikibaseItem,Is this person a member of QQ ?
p8006,footedness,WikibaseItem,Does this player display QQ ?
p8810,parent,WikibaseItem,Is QQ this persons parent ?
p8839,hairstyle / hairlength,WikibaseItem,Is QQ this persons hairstyle/length ?
p8852,facial hair,WikibaseItem,Does this person have a QQ ? (facial hair)
p9549,official podcast,WikibaseItem,Does this person runs QQ ?
p9929,madhhab,WikibaseItem,Is this person a student of QQ school of thought ?
p10449,trained by,WikibaseItem,Was this person trained by QQ ?
p10606,notable role,WikibaseItem,Is this person known for playing QQ ?
p10642,place of disappearance,WikibaseItem,Did this person dissapear in QQ ?
p10729,finisher,WikibaseItem,Is QQ this persons finisher ?
p10741,dance style,WikibaseItem,Is QQ this persons dance style ?
